PRODUCTO,CANTIDAD_PRODUCTO, PRECIO_TOTAL,FECHA,AÑO,MES,NomMes,DIA,REFERENCIA,GENERO,TALLA,CANTIDAD_DEVOLUCION, PRECIO_TOTAL_DEVOL
[701285XXL] PLAYERA BAUSI 701285 (XXL),10, $  38.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701286L] PLAYERA BAUSI 701286 (L),2, $  8.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701286S] PLAYERA BAUSI 701286 (S),4, $  17.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701287L] PLAYERA BAUSI 701287 (L),3, $  13.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701287M] PLAYERA BAUSI 701287 (M),7, $  28.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701287S] PLAYERA BAUSI 701287 (S),2, $  8.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701287XXL] PLAYERA BAUSI 701287 (XXL),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701288L] PLAYERA BAUSI 701288 (L),,,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,0, $  500 
[701288S] PLAYERA BAUSI 701288 (S),2, $  8.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701289L] PLAYERA BAUSI 701289 (L),15, $  62.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701289M] PLAYERA BAUSI 701289 (M),10, $  42.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701289S] PLAYERA BAUSI 701289 (S),1, $  5.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701289XL] PLAYERA BAUSI 701289 (XL),5, $  21.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701289XXL] PLAYERA BAUSI 701289 (XXL),4, $  16.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701290L] PLAYERA BAUSI 701290 (L),16, $  66.200 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701290M] PLAYERA BAUSI 701290 (M),13, $  52.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701290S] PLAYERA BAUSI 701290 (S),3, $  12.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701290XL] PLAYERA BAUSI 701290 (XL),11, $  44.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701290XXL] PLAYERA BAUSI 701290 (XXL),1, $  4.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701291L] PLAYERA BAUSI 701291 (L),20, $  78.400 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701291M] PLAYERA BAUSI 701291 (M),16, $  62.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701291S] PLAYERA BAUSI 701291 (S),6, $  24.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701291XL] PLAYERA BAUSI 701291 (XL),16, $  65.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701291XXL] PLAYERA BAUSI 701291 (XXL),8, $  31.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701292L] PLAYERA BAUSI 701292 (L),13, $  49.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701292M] PLAYERA BAUSI 701292 (M),17, $  66.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701292S] PLAYERA BAUSI 701292 (S),5, $  19.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701292XL] PLAYERA BAUSI 701292 (XL),10, $  37.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701292XXL] PLAYERA BAUSI 701292 (XXL),3, $  11.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701293L] PLAYERA BAUSI 701293 (L),7, $  26.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701293M] PLAYERA BAUSI 701293 (M),9, $  35.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701293S] PLAYERA BAUSI 701293 (S),4, $  16.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701293XL] PLAYERA BAUSI 701293 (XL),8, $  30.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701293XXL] PLAYERA BAUSI 701293 (XXL),7, $  27.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701294L] PLAYERA BAUSI 701294 (L),4, $  16.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701294M] PLAYERA BAUSI 701294 (M),4, $  16.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701294XXL] PLAYERA BAUSI 701294 (XXL),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701295L] PLAYERA BAUSI 701295 (L),5, $  22.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701295M] PLAYERA BAUSI 701295 (M),7, $  28.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701295S] PLAYERA BAUSI 701295 (S),4, $  18.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701295XL] PLAYERA BAUSI 701295 (XL),1, $  5.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701295XXL] PLAYERA BAUSI 701295 (XXL),1, $  3.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701296L] PLAYERA BAUSI 701296 (L),18, $  72.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701296M] PLAYERA BAUSI 701296 (M),8, $  31.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701296S] PLAYERA BAUSI 701296 (S),4, $  16.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701296XL] PLAYERA BAUSI 701296 (XL),3, $  12.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701296XXL] PLAYERA BAUSI 701296 (XXL),1, $  3.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701297L] PLAYERA BAUSI 701297 (L),16, $  63.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701297M] PLAYERA BAUSI 701297 (M),10, $  39.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701297S] PLAYERA BAUSI 701297 (S),4, $  19.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701297XL] PLAYERA BAUSI 701297 (XL),7, $  26.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
